Dataset,Datatype,wB97M-V,mace-polar-1-s,mace-polar-1-m,mace-polar-1-l
AlkIsomer11,Isomerization,0.17135378960031009,0.22028957896062965,0.06454657720165409,0.06797428540502025
C20C246,Isomerization,6.849969504373252,20.683770165600603,41.90956710712286,13.33822462984626
C60ISO7,Isomerization,11.356181880708748,9.917134491782368,11.88803971989241,14.622810084627895
DIE60,Isomerization,0.583519898481437,0.9593836340017389,0.7319151262030885,0.7049075947043815
EIE22,Isomerization,0.1939076545415917,0.5559333345263248,0.3074426120046087,0.21869928554629803
ISO34,Isomerization,0.6126737474261753,0.7030556329761135,0.6873401121178027,0.6698847501019058
ISOL23,Isomerization,1.4469981925876667,3.6602283303794154,1.7440113271384945,1.3532830056379543
ISOMERIZATION20,Isomerization,1.524645157567083,1.6599667092729369,1.4202380452834906,1.4243305165141606
PArel,Isomerization,0.5937700843203914,1.652264786630213,0.6929995893371655,0.44648029329542355
Styrene42,Isomerization,1.377884297637113,2.4573305096337927,1.7204217484733453,1.4925912881470933
TAUT15,Isomerization,0.3304243337728246,0.5038542329909192,0.43172624677757826,0.3956636610251263
